,pretret_earnat,divyield,roe,pcf,pe_op_dil,CAPEI,PEG_1yrforward,ptb,BID,accrual,ps,pe_op_basic,cash_lt,PEG_1yrforward,ASKHI,ptb,PEG_ltgforward,NEXT_DAY_PREDICTION
122,0.335,0.0209,0.337,6.4220000000000015,8.507,11.284,0.479,2.619,76.74,0.046,0.855,8.451,0.294,0.479,81.64,2.619,1.046,0.0
123,0.331,0.0236,0.326,5.657,8.026,9.044,-0.184,2.546,68.39,0.062,0.795,7.942,0.29,-0.184,80.34,2.546,1.056,1.0
124,0.331,0.0235,0.326,5.635,8.05,9.008,-0.166,2.536,67.89,0.062,0.792,7.965,0.29,-0.166,71.23,2.536,0.871,0.0
125,0.331,0.024,0.326,5.495,7.881,8.786,-0.153,2.474,66.89,0.062,0.772,7.797999999999999,0.29,-0.153,70.44,2.474,0.921,1.0
126,0.257,0.0242,0.269,7.167000000000002,9.5,9.237,-0.175,2.6630000000000003,70.09,0.034,0.899,9.423,0.274,-0.175,70.82,2.6630000000000003,1.3159999999999998,1.0
127,0.257,0.024,0.269,7.225,9.577,9.311,-0.185,2.685,69.94,0.034,0.906,9.499,0.274,-0.185,74.05,2.685,2.1590000000000003,1.0
128,0.257,0.0239,0.269,7.165,9.642,9.234,-0.189,2.662,70.22,0.034,0.899,9.564,0.274,-0.189,72.75,2.662,1.822,0.0
129,0.206,0.0243,0.224,9.233,11.76,8.953,-0.212,2.587,69.32,0.02,1.044,11.701,0.239,-0.212,71.37,2.587,2.511,0.0
130,0.206,0.0245,0.224,9.161,11.668,8.883,-0.211,2.567,68.53,0.02,1.036,11.609000000000002,0.239,-0.211,70.65,2.567,2.336,1.0
131,0.206,0.0234,0.224,9.452,12.189,9.166,-0.221,2.648,71.56,0.02,1.069,12.127,0.239,-0.221,74.91,2.648,2.44,1.0
132,0.174,0.0253,0.19,7.997000000000001,12.246,9.804,0.272,1.945,69.58,0.064,1.069,12.204,0.093,0.272,71.83,1.945,1.019,1.0
133,0.174,0.0241,0.19,8.406,12.873,10.306,0.278,2.045,73.16,0.064,1.123,12.828,0.093,0.278,73.42,2.045,1.074,1.0
134,0.174,0.0218,0.19,9.275,14.204,11.371,0.304,2.256,80.7,0.064,1.239,14.154000000000002,0.093,0.304,80.68,2.256,1.185,1.0
135,0.187,0.0225,0.207,7.874,11.873,11.615,0.295,2.192,83.46,0.06,1.134,11.84,0.078,0.295,86.97,2.192,1.835,0.0
136,0.187,0.0231,0.207,7.676,11.576,11.324000000000002,0.285,2.137,81.31,0.06,1.105,11.543,0.078,0.285,82.03,2.137,1.789,0.0
137,0.187,0.0236,0.207,7.4289999999999985,11.35,10.958,0.282,2.068,79.78,0.06,1.07,11.318,0.078,0.282,85.22,2.068,1.754,0.0
138,0.172,0.0255,0.228,7.143,10.449000000000002,11.09,-4.382,1.972,89.46,0.034,0.954,10.449000000000002,0.061,-4.382,90.04,1.972,10.735,1.0
139,0.172,0.0253,0.228,7.188,10.515,11.159,-6.247000000000001,1.985,90.0,0.034,0.96,10.515,0.061,-6.247000000000001,90.58,1.985,2.639,0.0
140,0.172,0.0256,0.228,7.044,10.384,10.936,-14.807,1.945,88.77,0.034,0.94,10.384,0.061,-14.807,90.77,1.945,6.846,1.0
141,0.166,0.0279,0.224,7.97,10.399,11.09,-24.783,1.955,90.48,0.016,0.995,10.399,0.073,-24.783,92.8,1.955,7.254,0.0
142,0.166,0.0279,0.224,7.959,10.385,11.075,-24.75,1.953,89.95,0.016,0.994,10.385,0.073,-24.75,91.93,1.953,6.716,1.0
143,0.166,0.0269,0.224,8.258,10.776,11.492,-7.704,2.026,93.71,0.016,1.031,10.776,0.073,-7.704,95.2,2.026,10.608,0.0
144,0.157,0.0289,0.17600000000000002,8.002,10.95,10.691,-2.104,1.875,87.03,0.036000000000000004,0.97,10.95,0.053,-2.104,92.73,1.875,21.899,0.0
145,0.157,0.029300000000000007,0.17600000000000002,7.9,10.809,10.553,-1.938,1.851,86.04,0.036000000000000004,0.957,10.809,0.053,-1.938,89.58,1.851,6.472,1.0
146,0.157,0.0281,0.17600000000000002,8.228,11.259,10.993,-1.54,1.928,89.68,0.036000000000000004,0.997,11.259,0.053,-1.54,89.62,1.928,12.941,1.0
147,0.145,0.027000000000000003,0.16699999999999998,8.52,12.204,11.621,-1.588,1.956,93.44,0.04,1.038,12.204,0.041,-1.588,95.45,1.956,15.255,1.0
148,0.145,0.0249,0.16699999999999998,9.224,13.211,12.58,-1.692,2.1180000000000003,101.2,0.04,1.124,13.211,0.041,-1.692,101.51,2.1180000000000003,5.622000000000001,0.0
149,0.145,0.0273,0.16699999999999998,8.335,12.031,11.369000000000002,-1.517,1.914,92.1,0.04,1.016,12.031,0.041,-1.517,101.07,1.914,11.244000000000002,1.0
150,0.193,0.01,0.241,8.47,15.083,16.973,1.774,3.629,80.13,0.064,1.382,14.914,0.188,1.774,81.94,3.629,1.5490000000000002,1.0
151,0.193,0.0097,0.241,8.69,15.502,17.414,1.862,3.723,82.47,0.064,1.418,15.329,0.188,1.862,84.45,3.723,1.592,0.0
152,0.193,0.0097,0.241,8.583,15.477,17.199,1.622,3.677,82.39,0.064,1.401,15.305,0.188,1.622,84.17,3.677,1.584,0.0
153,0.213,0.015,0.265,7.79,14.371,17.014,1.523,3.785,79.89,0.073,1.394,14.192,0.15,1.523,83.28,3.785,1.4380000000000002,0.0
154,0.213,0.0156,0.265,7.49,13.817,16.359,1.464,3.639,76.78,0.073,1.34,13.645,0.15,1.464,80.69,3.639,1.382,1.0
155,0.213,0.0155,0.265,7.407999999999999,13.923,16.180999999999994,1.503,3.599,77.35,0.073,1.325,13.75,0.15,1.503,78.09,3.599,1.409,1.0
156,0.218,0.0148,0.265,8.033999999999999,14.130999999999998,16.929000000000002,1.528,3.673,81.0,0.067,1.392,13.96,0.156,1.528,81.4,3.673,1.459,1.0
157,0.218,0.0146,0.265,8.13,14.3,17.132,1.546,3.717,81.94,0.067,1.409,14.128,0.156,1.546,83.42,3.717,1.457,1.0
158,0.218,0.013,0.265,9.068,16.113,19.107,1.42,4.146,92.15,0.067,1.571,15.919,0.156,1.42,92.33,4.146,1.736,0.0
159,0.223,0.0131,0.28,9.192,15.527,18.903,1.273,4.043,91.94,0.057,1.545,15.345999999999998,0.166,1.273,93.81,4.043,1.597,1.0
160,0.223,0.0124,0.28,9.715,16.41,19.978,1.346,4.273,97.15,0.057,1.633,16.219,0.166,1.346,97.2,4.273,1.6880000000000002,1.0
161,0.213,0.0129,0.295,9.324,15.387,18.029,1.408,4.797,92.94,0.054000000000000006,1.53,15.162,0.14300000000000002,1.408,100.38,4.797,1.4780000000000002,1.0
