,RET,RETX,vwretx,ewretx,sprtrn,vwretd,ewretd,pe_op_dil,cash_ratio,pe_inc,ALTPRC,debt_ebitda,ALTPRCDT,fcf_ocf,PRC
3270,0.14893,0.14893,0.068594,0.05868200000000001,0.06877799999999999,0.070292,0.05994,6.292000000000002,0.7064464135021098,6.292000000000002,150.82001,18.089,20100730.0,0.959,150.82001
1211,-0.057815,-0.061364999999999996,-0.051275,-0.07811799999999999,-0.044043,-0.049327,-0.07661699999999999,17.427,0.241,17.762,92.54,1.247,20071130.0,0.815,92.54
1012,-0.001267,-0.001267,0.036232,0.035725,0.031957,0.038165,0.037036,17.320999999999998,0.133,17.18,63.05,1.692,20110228.0,0.775,63.05
1907,0.09084400000000001,0.09084400000000001,-0.033025,-0.045982,-0.030917,-0.031045,-0.044331,24.016,0.206,23.106,30.5,2.358,20060531.0,0.715,30.5
1240,-0.002479,-0.002479,0.01893,0.056698,0.014759,0.020043,0.057842999999999985,38.733,0.341,39.364,72.43,3.894,20100430.0,0.7879999999999999,72.43
2580,-0.0247,-0.0247,0.024597,0.03269,0.024236,0.026539,0.034925,13.41,0.7064464135021098,13.347,56.86,6.865,20120928.0,0.911,56.86
3246,0.05426,0.052258000000000006,-0.014677,-0.002657,-0.009859,-0.013328,-0.001295,8.785,0.7064464135021098,8.785,184.03999,11.802,20080731.0,0.700589836660617,184.03999
2735,0.056062,0.056062,-0.035673,-0.052219000000000015,-0.026443,-0.033738,-0.049922,12.505999999999998,0.969,12.771,30.14,0.5660000000000001,20150930.0,0.5660000000000001,30.14
1030,0.04106,0.04106,0.023665,0.022964,0.019763,0.026265,0.02482,17.543,0.17800000000000002,18.358,67.19,1.557,20120831.0,0.7020000000000001,67.19
3086,-0.00524,-0.00524,-0.028223,-0.020095,-0.031041000000000006,-0.027152,-0.019073,24.227,0.221,23.786,104.42,1.3430000000000002,20150130.0,0.82,104.42
1768,0.028143,0.022074,0.038183,0.032156,0.037655,0.040186,0.033697000000000005,20.282,0.424,20.282,144.0,0.765,20140829.0,0.731,144.0
87,0.061328999999999995,0.05438099999999999,0.016509,0.022131,0.020763,0.019067,0.023985,12.691,2.13,18.083,34.9,0.417,20130531.0,0.899,34.9
3388,0.033363,0.033363,-0.01555,-0.014781,-0.019789,-0.014101,-0.013477,6.33,1.671,17.609,138.75999,0.0,20121031.0,0.922,138.75999
1569,-0.015353,-0.015353,-0.006515000000000001,-0.014282,-0.008628,-0.0044280000000000005,-0.010989,16.551,0.306,18.789,66.7,0.398,20071231.0,0.818,66.7
1191,0.072087,0.072087,0.017585,0.035232,0.011065,0.019053,0.036978,32.882,0.212,24.353,77.93,2.935,20060331.0,0.779,77.93
1512,0.0032990000000000003,0.0032990000000000003,0.006128,0.00206,0.011061,0.008331999999999999,0.0035,16.895,1.143,14.108,27.37,1.409,20130228.0,0.922,27.37
1855,0.066294,0.054545,0.001454,-0.00702,0.008533,0.003702,-0.003561,18.125,0.861,27.721,37.7,1.062,20111230.0,0.86,37.7
354,0.112845,0.112845,0.07256599999999999,0.051512,0.082983,0.073963,0.052873,14.722,0.079,14.722,82.74,0.72,20151030.0,0.152,82.74
1018,0.035616,0.035616,-0.059612,-0.077329,-0.056791,-0.057472,-0.075715,16.204,0.101,16.204,63.68,1.716,20110831.0,0.75,63.68
2108,0.03952,0.03952,0.033509,0.029529000000000007,0.035988,0.035274,0.031419,18.599,0.6859999999999999,18.599,99.69,1.396,20130328.0,0.562,99.69
3333,0.079075,0.079075,0.07256599999999999,0.051512,0.082983,0.073963,0.052873,11.390999999999998,0.7064464135021098,11.108,187.5,25.766,20151030.0,0.700589836660617,187.5
1902,-0.030187000000000002,-0.030187000000000002,0.000176,0.005435,0.000505,0.002442,0.007333,25.859,0.737,14.098,53.01,1.726,20151130.0,0.8170000000000001,53.01
876,0.026449,0.026449,0.043582,0.069383,0.035723000000000005,0.045222000000000005,0.071255,13.246,0.201,13.879,60.93,1.279,20090930.0,0.828,60.93
444,0.046209,0.046209,0.016509,0.022131,0.020763,0.019067,0.023985,17.022000000000002,0.7064464135021098,17.403,23.32,11.722,20130531.0,0.475,23.32
161,-0.021469,-0.021469,0.0293,0.055310000000000005,0.03356,0.031459,0.056864,8.772,0.499,9.031,48.77,1.147,20090831.0,0.7440000000000001,48.77
2279,-0.045702,-0.05049,0.009678,-0.013287,0.012864,0.011631,-0.011712,14.84,0.12,15.808,43.63,1.633,20070831.0,0.146,43.63
249,-0.033016000000000004,-0.033016000000000004,0.018466,0.021357,0.014059,0.019401,0.022283,11.382,0.705,11.279000000000002,74.1,0.118,20070131.0,0.701,74.1
3063,0.02361,0.02361,0.006128,0.00206,0.011061,0.008331999999999999,0.0035,24.205,0.243,24.291,68.5,1.2009999999999998,20130228.0,0.797,68.5
980,-0.079334,-0.079334,-0.080247,-0.088745,-0.085962,-0.078433,-0.086625,18.372,0.166,17.938,60.81,1.878,20080630.0,0.8170000000000001,60.81
884,-0.09533,-0.101001,-0.081224,-0.078435,-0.081976,-0.079136,-0.076929,14.428,0.244,15.78,67.38,1.252,20100528.0,0.866,67.38
2034,0.00045099999999999996,0.00045099999999999996,0.018466,0.021357,0.014059,0.019401,0.022283,20.438,0.983,19.199,44.35,1.69,20070131.0,0.584,44.35
3514,0.045052999999999996,0.045052999999999996,0.016509,0.022131,0.020763,0.019067,0.023985,12.209,0.476,12.209,62.63,1.449,20130531.0,0.757,62.63
3105,0.04502,0.04502,0.018105,0.007432999999999999,0.024566,0.019424,0.009006,26.114,1.575,25.82,22.98,0.7559999999999999,20060929.0,0.902,22.98
173,0.014016999999999998,0.014016999999999998,-0.044938,-0.049083,-0.047449,-0.042813,-0.047566,8.391,0.6829999999999999,8.787,55.8825,1.109,20100831.0,0.784,55.8825
3481,0.041707999999999995,0.041707999999999995,-0.044938,-0.049083,-0.047449,-0.042813,-0.047566,8.527000000000001,0.4970000000000001,8.527000000000001,31.72,1.334,20100831.0,0.87,31.72
2992,-0.06630499999999999,-0.071988,0.011471,0.004804999999999999,0.00998,0.012946,0.0065450000000000005,13.028,0.047,13.168,36.74,1.02,20070330.0,0.5379999999999999,36.74
3244,-0.078173,-0.078173,0.021528,0.029774,0.010674,0.023841,0.031787,8.282,0.7064464135021098,8.282,176.41,11.222,20080530.0,0.700589836660617,176.41
822,0.100461,0.09644900000000001,0.053611,0.052497,0.054893,0.055948000000000005,0.054123,17.313,0.604,17.313,128.46001,0.442,20150227.0,0.847,128.46001
2669,0.085728,0.085728,0.06192,0.06725199999999999,0.058796,0.063606,0.069289,18.575,1.834,28.948,22.29,0.162,20100331.0,0.596,22.29
665,0.034818,0.034818,0.001454,-0.00702,0.008533,0.003702,-0.003561,7.881,0.556,7.881,106.4,0.222,20111230.0,0.387,106.4
2230,-0.032973,-0.032973,-0.017055,-0.015631,-0.014999,-0.015039,-0.013012,9.343,0.7064464135021098,9.444,52.79,9.916,20130628.0,1.0,52.79
1959,0.01721,0.01721,0.089635,0.094485,0.087551,0.091518,0.096418,15.467,0.315,15.99,33.1,1.547,20100930.0,0.6829999999999999,33.1
3047,0.089139,0.089139,0.112566,0.106575,0.107723,0.113977,0.107697,16.054000000000002,0.14400000000000002,16.054000000000002,35.8,1.317,20111031.0,0.797,35.8
2527,0.10247,0.098353,0.049781,0.03049,0.047547000000000006,0.051106,0.031907,15.101,0.7064464135021098,14.292,48.02,11.332,20080430.0,0.889,48.02
2936,0.067243,0.067243,0.036055,0.031622000000000004,0.039555,0.038156,0.034188,45.81399999999999,0.33,47.277,44.44,1.79,20120629.0,0.4970000000000001,44.44
158,0.141928,0.141928,0.065138,0.10021,0.053081,0.067788,0.10233,9.871,0.455,10.115,49.16,1.105,20090529.0,0.72,49.16
139,0.074648,0.074648,0.024693,0.016144,0.014822,0.025834,0.017406,13.604,0.324,13.724,61.76,0.777,20071031.0,0.7609999999999999,61.76
1944,-0.036746,-0.036746,-0.00504,0.021352,0.000196,-0.003098,0.023921,11.964,0.287,12.679,23.33,1.941,20090630.0,0.593,23.33
574,0.020676,0.020676,0.000496,-0.023436,0.006201,0.001661,-0.022319,13.133,0.276,13.151,196.47,1.65,20140430.0,0.7929999999999999,196.47
1618,0.005032,0.005032,0.052929,0.08443200000000001,0.043583,0.054076,0.085342,13.451,1.283,16.076,65.91,0.921,20120131.0,0.8140000000000001,65.91
2716,0.018134,0.008965,0.043937,0.042687,0.043117,0.046173,0.044257,12.896,1.48,13.101,24.76,0.654,20140228.0,0.484,24.76
1647,0.031145,0.031145,0.025957,0.037053,0.019058,0.027941000000000004,0.039501,18.069000000000006,1.099,19.966,104.62,0.69,20140630.0,0.809,104.62
2010,0.030591000000000004,0.01816,-0.005754,-0.003562,-0.004189,-0.003616,-0.00019,21.803,0.257,22.11,94.19,1.092,20141231.0,0.6609999999999999,94.19
773,0.051959000000000005,0.051959000000000005,0.018203,0.013611000000000002,0.022646,0.019157,0.014412,22.472,1.236,22.397,339.32001,0.0,20110131.0,0.892,339.32001
3405,-0.044614,-0.044614,0.002751,-0.0010949999999999998,0.006931999999999999,0.004469,0.0010279999999999998,6.8660000000000005,1.131,6.875,215.86,0.0,20140331.0,0.934,215.86
2180,0.243416,0.241535,0.107522,0.190929,0.093925,0.109359,0.192762,35.87,0.7064464135021098,24.088,33.0,30.918000000000006,20090430.0,1.0,33.0
342,0.028283,0.028283,0.019935,0.012956,0.023201,0.021184,0.014199000000000003,12.32,0.08,12.32,96.71,0.388,20141031.0,0.318,96.71
792,0.093539,0.0892,0.023665,0.022964,0.019763,0.026265,0.02482,2.235,0.88,2.235,665.23999,0.0,20120831.0,0.8759999999999999,665.23999
1000,0.028107,0.028107,0.032688,0.032232,0.028514,0.034774,0.033602999999999994,18.028,0.16899999999999998,15.067,63.28,1.845,20100226.0,0.82,63.28
2347,0.038620999999999996,0.038620999999999996,0.013768,0.001376,0.018086,0.014944999999999996,0.002477,15.39,0.108,15.482,77.72,1.568,20130430.0,0.496,77.72
441,0.050718,0.04219,0.006128,0.00206,0.011061,0.008331999999999999,0.0035,16.826,0.7064464135021098,18.0,23.22,10.808,20130228.0,0.517,23.22
789,-0.010702,-0.010702,-0.067942,-0.070404,-0.062651,-0.06553099999999999,-0.06843400000000001,2.013,0.931,2.013,577.72998,0.0,20120531.0,0.902,577.72998
1302,-0.01281,-0.01281,-0.021201,-0.015969,-0.021012,-0.019259,-0.013473,19.055,0.202,17.362000000000002,138.72,0.931,20150630.0,0.705,138.72
1928,0.086126,0.086126,-0.023605,-0.022916,-0.034761,-0.021664,-0.021401,15.433,0.292,15.507,32.41,1.66,20080229.0,0.722,32.41
2740,-0.022336,-0.027687,0.017585,0.035232,0.011065,0.019053,0.036978,14.166,0.7064464135021098,17.936,41.79,1.6,20060331.0,1.0,41.79
3126,-0.129491,-0.129491,-0.080247,-0.088745,-0.085962,-0.078433,-0.086625,18.46,1.84,18.172,23.26,0.609,20080630.0,0.89,23.26
535,0.103843,0.103843,0.018203,0.013611000000000002,0.022646,0.019157,0.014412,15.154000000000002,0.364,14.768,162.0,1.156,20110131.0,0.8029999999999999,162.0
2455,-0.029767000000000002,-0.032985,-0.067942,-0.070404,-0.062651,-0.06553099999999999,-0.06843400000000001,5.542000000000002,1.007,5.634,108.18,0.146,20120531.0,0.713,108.18
916,0.067797,0.067797,0.052887,0.06268,0.050428,0.054094,0.06350900000000001,15.835,0.423,18.019,87.57,2.024,20130131.0,0.8320000000000001,87.57
1382,0.041181999999999996,0.033721,0.02211,0.015303,0.031332,0.023994,0.017608000000000002,13.375,0.399,16.898,34.64,3.119,20120330.0,0.278,34.64
2653,-0.130435,-0.13916800000000001,-0.087354,-0.132591,-0.074849,-0.084615,-0.13032,10.073,1.506,11.04,13.8,0.139,20081128.0,0.6409999999999999,13.8
43,0.043407999999999995,0.043407999999999995,0.043582,0.069383,0.035723000000000005,0.045222000000000005,0.071255,15.683,1.163,15.877,25.72,0.251,20090930.0,0.836,25.72
1929,-0.03178,-0.03178,-0.012158,-0.027567,-0.00596,-0.010419,-0.025309,14.943,0.292,15.014,31.38,1.66,20080331.0,0.722,31.38
2846,-0.028625,-0.028625,-0.028223,-0.020095,-0.031041000000000006,-0.027152,-0.019073,9.983,0.7064464135021098,9.983,102.82,1.016,20150130.0,1.0,102.82
1507,0.041492,0.041492,0.024597,0.03269,0.024236,0.026539,0.034925,15.34,0.914,18.545,24.85,1.3530000000000002,20120928.0,0.903,24.85
80,-0.040995,-0.040995,-0.01555,-0.014781,-0.019789,-0.014101,-0.013477,10.454,1.929,14.27,28.54,0.389,20121031.0,0.927,28.54
