,CAPEI,pcf,divyield,evm,pe_inc,pe_op_dil,pe_op_basic,bm,PEG_ltgforward,ptb,aftret_equity,sale_invcap,PEG_1yrforward,pe_exi,debt_assets
666,11.003,5.098,0.031400000000000004,4.176,7.6389999999999985,7.6389999999999985,7.5939999999999985,0.743,1.046,1.499,0.25,1.856,0.173,7.6389999999999985,0.421
2277,19.895,10.819,0.0183,9.562,17.430999999999994,16.364,16.364,0.304,1.2819999999999998,3.299,0.214,3.907,1.672,16.199,0.595
2951,38.211,4.004,0.0441,5.7120000000000015,86.435,50.188,50.188,0.415,9.235,2.235,0.044,0.8909999999999999,4.248,86.435,0.61
3013,8.111,7.282999999999999,0.0391,7.377000000000002,13.005999999999998,11.453,11.396,0.474,1.334,2.06,0.16699999999999998,2.544,-0.547,13.005999999999998,0.596
2779,8.241,7.945,0.0292,7.402,9.413,9.656,9.589,1.11,1.66,0.91,0.102,0.76,-8.267999999999999,9.413,0.7709999999999999
1269,17.13,10.209,0.0253,8.064,12.02,13.181,13.082,0.104,1.146,9.015,0.909,5.1960000000000015,-8.256,12.041,0.935
1122,13.18,6.362,0.0276,10.639,31.0,28.13,27.493,0.227,1.6669999999999998,4.268,0.16399999999999998,1.004,0.711,31.0,0.855
1658,21.882,15.941,0.03,12.429,17.914,17.147000000000002,16.859,0.256,3.492,3.886,0.212,0.8440000000000001,6.291,17.914,0.445
2764,10.864,5.558,0.0242,5.403,6.975,7.068,6.885,0.787,0.775,1.105,0.17800000000000002,0.809,-0.669,6.975,0.769
979,25.229,13.18,0.0242,12.872,19.484,19.955,18.818,0.379,1.67,2.484,0.165,0.878,1.311,19.835,0.522
53,15.109000000000002,10.011,0.0201,9.939,13.373,13.373,13.168,0.181,1.4380000000000002,4.799,0.4270000000000001,1.2819999999999998,0.65,13.373,0.477
2310,16.338,7.9620000000000015,0.0218,8.337,15.027,15.191,15.15,0.363,1.384,2.845,0.212,3.704,1.709,14.946,0.5710000000000001
3174,12.737,8.193,0.0186,9.241,12.719,11.523,11.447,0.473,1.46,1.791,0.154,0.7,0.981,12.719,0.45
791,44.924,10.789,0.025765303867403312,7.522,2.128,2.128,2.102,0.204,0.097,5.013,0.519,1.682,0.031,2.128,0.34
1906,35.92800000000001,11.477,0.0097,11.48,22.19,23.107,22.19,0.5920000000000001,1.6669999999999998,1.938,0.098,0.835,2.235,22.016,0.489
2910,13.638,2.411,0.069,4.268,32.0,11.862,11.862,0.7090000000000001,4.871,1.252,0.058,0.768,-6.4,32.0,0.629
2160,20.696,-2.422,0.0341,13.964,9.412,9.721,9.412,0.7240000000000001,1.01,1.264,0.141,0.424,0.467,9.806,0.916
1358,13.869000000000002,16.392,0.0203,13.277,92.406,52.804,52.804,0.561,19.201,1.907,0.032,1.114,0.996,134.409,0.68
2849,11.127,8.726,0.0218,6.399,9.45,9.45,9.345,0.728,1.724,1.297,0.149,0.885,-0.932,9.45,0.759
1424,16.118,6.8260000000000005,0.0396,9.534,12.149,13.333,13.005999999999998,0.34,1.331,2.435,0.183,1.256,4.723,12.149,0.642
3202,15.575,10.138,0.0311,12.074000000000002,16.423,15.39,15.199000000000002,0.443,2.158,2.192,0.136,0.612,3.383,16.423,0.461
2073,22.762,13.199000000000002,0.0312,10.081,17.175,17.736,17.516,0.228,1.69,4.957,0.332,0.925,1.519,17.175,0.536
2223,11.464,2.647,0.0292,13.2,8.722000000000001,9.048,9.029,1.239,1.271,0.8190000000000001,0.103,0.238,0.7240000000000001,8.722000000000001,0.917
1264,18.715,14.3,0.0229,9.582,14.382,15.547,15.422,0.064,1.092,16.366,1.277,5.044,-2.0340000000000003,14.409,0.955
149,23.69,17.017,0.0292,15.038,10.54,10.13,10.013,0.208,1.115,4.82,0.278,1.271,0.7490000000000001,10.54,0.51
1957,17.99,12.028,0.0104,8.83,17.639,16.93,16.761,0.59,1.96,1.6269999999999998,0.106,0.758,1.459,17.639,0.44
2615,15.406,7.3820000000000014,0.0151,13.958,13.483,14.155,14.077,0.281,1.592,3.51,0.28600000000000003,0.471,7.268,13.483,0.865
3445,24.879,10.678,0.0006,9.109,15.677,15.34,14.796,0.312,1.018,3.145,0.224,2.779,0.934,15.677,0.586
332,12.58,9.224,0.0249,6.816,13.211,13.211,13.211,0.555,5.622000000000001,2.1180000000000003,0.206,2.1790000000000003,-1.692,13.211,0.4920000000000001
1606,13.953,9.197,0.0361,9.489,12.273,12.583,12.425999999999998,0.34700000000000003,2.248,2.781,0.263,1.012,4.735,12.273,0.436
